   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
   0,             1,               0,              2,         1,           0,          1,          1,            0,           0,        6,          0,         1
   1,             1,               0,              0,         4,           1,         10,          1,            0,           0,       10,          1,         1
   2,             3,               0,              1,        13,           2,         10,          5,            0,           1,       22,          3,         3
   3,             6,               2,              2,        26,           3,          2,         11,            2,          37,       31,          5,         4
   4,             8,               2,              4,        39,           4,          6,         19,            2,           3,       52,          9,        15
   5,            10,               2,              3,        54,           5,          4,         29,            2,           2,       64,         11,         3
   6,            12,               2,              2,        71,           6,          4,         41,            2,           1,       79,         13,         3
   7,            14,               2,              2,        90,           7,          3,         55,            2,           2,       94,         16,         7
   8,            16,               2,              2,       111,           8,          5,         71,            2,           1,      123,         22,         4
   9,            18,               2,              2,       134,           9,          4,         89,            2,           1,      144,         26,         4
  10,            20,               2,              2,       159,          10,          4,        109,            2,           2,      167,         30,         4
  11,            22,               2,              3,       186,          11,          5,        131,            2,           2,      188,         34,         4
  12,            25,               3,              3,       192,          12,          3,        155,            3,           1,      214,         39,         4
  13,            27,               3,              2,       223,          13,         10,        181,            3,           2,      235,         43,         4
  14,            29,               3,              3,       256,          14,          4,        209,            3,           3,      261,         48,         4
  15,            31,               3,              9,       291,          15,          5,        239,            3,           3,      281,         52,         6
  16,            33,               3,              3,       328,          16,          6,        271,            3,           3,      311,         58,         6
  17,            36,               4,              4,       334,          17,          6,        305,            4,           2,      338,         63,         5
  18,            38,               4,              4,       375,          18,          5,        341,            4,           3,      369,         69,         5
  19,            40,               4,              3,       418,          19,          5,        379,            4,           3,      398,         75,         5
  20,            43,               5,              4,       424,          20,         65,        419,            5,           5,      432,         82,         5
  21,            46,               6,              4,       475,          22,         23,        461,            6,           3,      458,         87,         6
  22,            48,               6,              4,       524,          23,         25,        505,            6,           5,      483,         91,         7
  23,            50,               6,              4,       575,          24,          8,        551,            6,           6,      512,         97,         9
  24,            52,               6,              5,       628,          25,         54,        599,            6,           7,      543,        103,        10
  25,            54,               6,              4,       683,          26,          3,        649,            6,           6,      572,        109,         7
  26,            57,               7,              4,       689,          27,          3,        701,            7,          69,      600,        114,         7
  27,            60,               8,              4,       752,          29,          3,        755,            8,           6,      626,        119,         7
  28,            64,              10,              5,       763,          30,          3,        811,           10,           7,      657,        125,         8
  29,            66,              10,              5,       826,          31,          4,        869,           10,           7,      686,        131,        10
  30,            68,              10,              4,       891,          32,          4,        929,           10,           7,      717,        137,         8
  31,            71,              11,              8,       897,          33,          3,        991,           11,           8,      743,        142,         8
  32,            73,              11,              5,       966,          34,          3,       1055,           11,          16,      776,        148,         8
  33,            75,              11,              5,      1037,          35,          4,       1121,           11,           2,      808,        154,         8
  34,            77,              11,              6,      1110,          36,          5,       1189,           11,           2,      854,        164,        10
  35,            80,              12,              6,      1116,          37,          6,       1259,           12,           2,      876,        167,        10
  36,            82,              12,              7,      1193,          38,          5,       1331,           12,           2,      923,        177,        10
  37,            84,              12,              6,      1272,          39,          4,       1405,           12,           2,      948,        181,         9
  38,            86,              12,              6,      1353,          40,          5,       1481,           12,           2,      979,        187,        12
  39,            88,              12,             10,      1436,          41,          7,       1559,           12,           4,     1017,        195,        14
  40,            91,              13,              7,      1442,          42,          7,       1639,           13,           3,     1041,        198,        10
  41,            93,              13,              6,      1529,          43,          6,       1721,           13,           3,     1078,        206,        12
  42,            95,              13,              7,      1618,          44,          4,       1805,           13,           2,     1116,        214,        11
  43,            97,              13,              8,      1709,          45,          8,       1891,           13,           3,     1153,        222,        11
  44,            99,              13,              7,      1802,          46,          5,       1979,           13,           6,     1186,        228,        28
  45,           101,              13,              7,      1897,          47,          6,       2069,           13,           4,     1217,        234,        15
  46,           103,              13,              8,      1994,          48,          8,       2161,           13,           4,     1259,        242,        35
  47,           106,              14,              7,      2000,          49,          5,       2255,           14,           3,     1285,        247,        10
  48,           109,              15,              6,      2105,          51,          5,       2351,           15,           2,     1325,        255,        10
  49,           111,              15,              6,      2208,          52,          3,       2449,           15,           3,     1358,        261,        10
