  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
  0,             1,               0,              2,         1,           0,          1,          1,            0,           0,        2,          0,         1
  1,             1,               0,              1,         4,           1,          1,          1,            0,           0,        2,          0,         1
  2,             3,               1,              1,        14,           2,          3,          5,            1,           1,       10,          0,         2
  3,             5,               1,              1,        25,           3,          4,         11,            1,           1,       15,          0,         2
  4,             8,               2,              1,        31,           4,          4,         19,            2,           1,       35,          3,        16
  5,            10,               2,              2,        46,           5,          5,         29,            2,           3,       49,          5,         3
  6,            16,               6,              4,        60,           7,         44,         41,            6,           4,       64,          6,         5
  7,            20,               8,              3,        76,           9,          9,         55,            8,           6,       72,          6,         5
  8,            28,              15,              3,        99,           9,          8,         71,           15,           5,       90,          8,         4
  9,            35,              20,              4,       103,          12,          7,         89,           20,           5,      114,         12,         4
 10,            44,              27,              5,       121,          13,          8,        109,           27,           6,      141,         16,         5
 11,            51,              32,              5,       149,          16,         11,        131,           32,          10,      157,         18,         6
 12,            56,              35,              5,       171,          17,         11,        155,           35,          10,      173,         19,         6
 13,            68,              45,              9,       169,          17,         22,        181,           45,          12,      184,         20,         7
 14,            73,              48,              8,       196,          19,         14,        209,           48,          14,      199,         21,         7
 15,            82,              55,              9,       219,          23,         16,        239,           55,          15,      223,         25,         7
 16,            86,              57,             10,       246,          24,         15,        271,           57,          19,      258,         31,         7
 17,           100,              69,             10,       269,          23,         35,        305,           69,          17,      294,         38,         6
 18,           110,              77,              9,       265,          27,         19,        341,           77,          26,      320,         41,         9
 19,           114,              79,              9,       330,          26,         24,        379,           79,          23,      330,         41,         7
 20,           134,              98,             12,       347,          28,         32,        419,           98,          25,      372,         49,        10
 21,           154,             116,             15,       382,          31,         25,        461,          116,          28,      394,         52,        10
 22,           176,             136,             14,       413,          30,         22,        505,          136,          26,      413,         53,         7
 23,           191,             149,             16,       405,          37,         27,        551,          149,          30,      443,         59,         7
 24,           206,             162,             22,       395,          40,         29,        599,          162,          38,      471,         63,        13
 25,           223,             177,             23,       431,          43,         29,        649,          177,          41,      495,         67,        42
 26,           237,             189,             37,       440,          42,         36,        701,          189,          48,      524,         72,        13
 27,           262,             212,             23,       495,          46,         30,        755,          212,          40,      545,         74,        13
 28,           269,             217,             21,       527,          45,         30,        811,          217,          41,      575,         79,        11
 29,           277,             223,             24,       549,          47,         53,        869,          223,          54,      587,         79,        13
 30,           285,             229,             29,       529,          49,         40,        929,          229,          52,      610,         83,        15
 31,           299,             241,             31,       567,          53,         83,        991,          241,          64,      635,         86,        19
 32,           312,             252,             39,       598,          49,         38,       1055,          252,          65,      673,         93,        38
 33,           326,             264,             35,       629,          50,         38,       1121,          264,          71,      710,         99,        14
 34,           355,             291,             35,       651,          57,         39,       1189,          291,          71,      739,        103,        16
 35,           364,             298,             36,       642,          55,         43,       1259,          298,          79,      773,        110,        12
 36,           393,             325,             39,       676,          62,         38,       1331,          325,          82,      801,        112,        15
 37,           423,             353,             41,       700,          60,         50,       1405,          353,          84,      828,        117,        16
 38,           453,             381,             46,       748,          64,         11,       1481,          381,         119,      853,        120,        17
 39,           458,             384,             47,       795,          62,         11,       1559,          384,          96,      877,        123,        21
 40,           498,             423,             49,       808,          68,         11,       1639,          423,         103,      923,        131,        19
 41,           527,             450,             53,       755,          72,         14,       1721,          450,         140,      951,        135,        19
 42,           550,             471,             63,       873,          75,         12,       1805,          471,         101,      999,        145,        19
 43,           581,             500,             59,       827,          74,         12,       1891,          500,         121,     1031,        151,        19
 44,           588,             505,             64,       876,          70,         12,       1979,          505,         133,     1072,        158,        27
 45,           603,             518,             60,       911,          76,         16,       2069,          518,         123,     1103,        163,        24
 46,           626,             539,             65,       953,          83,         13,       2161,          539,         132,     1139,        169,        19
 47,           657,             568,             65,       909,          84,         13,       2255,          568,         138,     1164,        173,        15
 48,           683,             592,             59,       970,          81,         11,       2351,          592,         120,     1187,        174,        46
 49,           726,             633,             69,       985,          83,         15,       2449,          633,         157,     1236,        184,        24
 50,           766,             671,             85,      1076,          86,         15,       2549,          671,         163,     1261,        187,        22
 51,           777,             680,             92,      1086,          89,         16,       2651,          680,         169,     1273,        188,        23
 52,           781,             682,             88,      1175,          90,         18,       2755,          682,         170,     1309,        194,        29
 53,           801,             700,            123,      1058,          93,         15,       2861,          700,         217,     1343,        200,        29
 54,           854,             751,             84,      1362,          90,         21,       2969,          751,         175,     1388,        208,        26
 55,           903,             798,             86,      1144,          97,         16,       3079,          798,         177,     1419,        214,        19
 56,           940,             833,             90,      1183,         101,         16,       3191,          833,         210,     1451,        218,        15
 57,           965,             856,            100,      1188,         103,         19,       3305,          856,         213,     1474,        220,        12
 58,          1007,             896,            119,      1228,         107,         16,       3421,          896,         248,     1514,        227,        13
 59,          1066,             953,            110,      1364,         102,         16,       3539,          953,         225,     1531,        229,        13
 60,          1078,             963,            127,      1324,         106,         17,       3659,          963,         236,     1560,        233,        16
 61,          1128,            1011,            112,      1402,         114,         16,       3781,         1011,         254,     1610,        242,        21
 62,          1160,            1041,            138,      1313,         117,         23,       3905,         1041,         244,     1622,        241,        17
 63,          1168,            1047,            162,      1411,         115,         17,       4031,         1047,         264,     1670,        251,        29
 64,          1193,            1070,            115,      1464,         121,         17,       4159,         1070,         251,     1698,        255,        15
 65,          1204,            1079,            119,      1478,         122,         14,       4289,         1079,         262,     1733,        262,        17
 66,          1256,            1129,            144,      1528,         128,         19,       4421,         1129,         283,     1772,        267,        17
 67,          1319,            1190,            153,      1543,         130,         17,       4555,         1190,         278,     1790,        269,        16
 68,          1386,            1255,            146,      1707,         125,         23,       4691,         1255,         305,     1823,        275,        16
 69,          1451,            1318,            149,      1655,         132,         20,       4829,         1318,         327,     1884,        287,        18
 70,          1518,            1383,            156,      1928,         126,         35,       4969,         1383,         301,     1920,        291,        17
 71,          1573,            1436,            156,      1601,         138,         18,       5111,         1436,         196,     1955,        297,        18
 72,          1575,            1436,            154,      1750,         139,         22,       5255,         1436,         122,     2003,        305,        16
 73,          1644,            1503,            165,      1716,         140,         24,       5401,         1503,         184,     2014,        305,        17
 74,          1690,            1547,            175,      1593,         143,         22,       5549,         1547,         106,     2057,        314,        19
 75,          1757,            1612,            182,      1720,         143,         22,       5699,         1612,         146,     2082,        318,        18
 76,          1782,            1635,            183,      1824,         146,         22,       5851,         1635,         175,     2143,        329,        21
 77,          1787,            1638,            199,      1921,         152,         22,       6005,         1638,         193,     2167,        332,        18
 78,          1824,            1673,            200,      1783,         153,         21,       6161,         1673,          76,     2208,        338,        22
 79,          1893,            1740,            195,      1872,         155,         26,       6319,         1740,          92,     2232,        342,        26
 80,          1899,            1744,            184,      1934,         153,         34,       6479,         1744,         201,     2281,        350,        19
 81,          1940,            1783,            187,      1914,         159,         22,       6641,         1783,         379,     2323,        358,        21
 82,          1964,            1805,            195,      1984,         157,         26,       6805,         1805,         149,     2376,        368,        22
 83,          2016,            1855,            201,      1942,         166,         23,       6971,         1855,          94,     2401,        371,        19
 84,          2022,            1859,            223,      2098,         160,         24,       7139,         1859,          78,     2424,        373,        20
 85,          2068,            1903,            200,      2029,         163,         24,       7309,         1903,         103,     2484,        386,        18
 86,          2096,            1929,            220,      2192,         166,         55,       7481,         1929,          77,     2522,        392,        21
 87,          2142,            1973,            212,      2107,         167,         11,       7655,         1973,          83,     2524,        389,        19
 88,          2182,            2011,            447,      2086,         176,          9,       7831,         2011,          81,     2603,        406,        21
 89,          2219,            2046,            235,      2111,         174,          9,       8009,         2046,          76,     2625,        408,        22
 90,          2275,            2100,            175,      2199,         176,         12,       8189,         2100,         226,     2661,        413,        25
 91,          2289,            2112,            154,      2246,         182,         14,       8371,         2112,          83,     2687,        417,        23
 92,          2304,            2125,            118,      2257,         184,         12,       8555,         2125,         216,     2734,        426,        23
 93,          2348,            2167,             96,      2143,         191,         11,       8741,         2167,          78,     2759,        429,        20
 94,          2389,            2206,             72,      2206,         195,         10,       8929,         2206,         264,     2775,        429,        19
 95,          2398,            2213,             49,      2307,         192,         10,       9119,         2213,          74,     2828,        440,        20
 96,          2475,            2288,            124,      2356,         191,         11,       9311,         2288,         232,     2879,        448,        25
 97,          2518,            2329,            100,      2301,         199,         14,       9505,         2329,          22,     2933,        458,        20
 98,          2615,            2424,             48,      2733,         199,         12,       9701,         2424,          21,     2973,        466,        23
 99,          2701,            2508,             44,      2446,         199,          8,       9899,         2508,          15,     2988,        467,        17
100,          2764,            2569,             32,      2460,         200,          9,      10099,         2569,          18,     3026,        473,        21
