 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
 0,             1,               0,              2,         1,           0,          0,          1,            0,           0,        6,          0,         1
 1,             1,               0,              0,         4,           1,          1,          1,            0,           0,       10,          1,         2
 2,             3,               0,              0,        13,           2,          2,          5,            0,           1,       22,          3,         4
 3,             5,               0,              0,        24,           3,          3,         11,            0,           1,       31,          5,         4
 4,             8,               1,              2,        30,           4,          8,         19,            1,           3,       48,          8,        10
 5,            13,               5,              3,        55,           5,          7,         29,            5,           4,       59,         10,         9
 6,            19,               9,              6,        64,           8,         15,         41,            9,          11,       82,         14,        12
 7,            22,              10,              4,        82,           9,          9,         55,           10,           6,       97,         17,        13
 8,            25,              11,              4,        95,          11,         10,         71,           11,           5,      123,         22,        16
 9,            29,              13,              3,       106,          12,          9,         89,           13,           7,      143,         26,        15
10,            31,              13,              7,       131,          13,         11,        109,           13,           7,      166,         30,        18
